STATION,STATION_NAME,DATE,TMAX,TMIN
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750910,78,56
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750911,86,55
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750912,72,54
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750913,66,40
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750914,64,41
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750915,67,42
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750916,73,52
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750917,66,59
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750918,73,60
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750919,71,60
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750920,68,50
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750921,67,44
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750922,62,47
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750923,58,47
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750924,64,49
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750925,62,46
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750926,54,50
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750927,59,46
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750928,68,43
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750929,71,43
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750930,69,48
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751001,73,51
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751002,57,41
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751003,56,33
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751004,66,36
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751005,72,38
